camp_code,majr_code_1,completed,grantpct,transfer,gpa_final,gpa_first_term,gpa_first_year,cityapp,statapp,natnapp,hscity,hsstate,hsnatn,hsgpa,minor,maj2,ethnicity,act_composite,sat_total
"1","BUS","matched (3)",30,0,3.637037,3.604167,3.677083,"N Bellmore","NY","","Uniondale","NY","","98.26",0,0,"8. White",,1330
"2","ECO","matched (3)",32,"master only (1)",3.727642,3.833333,3.833333,"Teaneck","NJ","","Elizabeth","NJ","","93.93",0,0,"8. White",,1180
"1","BUS","matched (3)",0,0,3.680473,3.791667,3.791667,"Boca Raton","FL","","N. Miami Beach","FL","","86.97",0,0,"8. White",26,1120
"2","UND","matched (3)",0,0,3.457364,3.880952,3.666667,"Lawrence","NY","","Cedarhurst","NY","","94.11",0,0,"8. White",,1210
"2","POL","matched (3)",15,0,2.893617,3,2.848485,"Olney","MD","","Rockville","MD","","83.43",0,0,"8. White",21,
"2","BUS","matched (3)",0,0,3.905882,3.941176,3.90625,"Lawrence","NY","","Cedarhurst","NY","","96.45",0,0,"8. White",,1220
"2","PSY","matched (3)",30,0,3.54,3.508772,3.412281,"Silver Spring","MD","","Silver Spring","MD","","87.91",0,0,"8. White",,1170
"1","PHI","master only (1)",14,0,1.350427,2.794872,2.794872,"Long Beach","NY","","Lawrence","NY","","A-",0,0,"8. White",,1390
"2","BUS","master only (1)",0,0,2.805556,3.066667,3.090909,"Lawrence","NY","","Cedarhurst","NY","","83.68",0,0,"8. White",,1000
"2","JST","master only (1)",63,0,2.942857,2.789474,2.942857,"Nepean","ON","CANADA","Ottowa","ON","CANADA","91",0,0,"1. Non Resident Alien",,1070
"2","ENG","master only (1)",11,0,2.933333,2.933333,2.933333,"Little Neck","NY","","Cedarhurst","NY","","85.62",1,0,"8. White",,990
"2","BIO","matched (3)",42,0,2.979382,2.583333,2.916667,"Beachwood","OH","","Cleveland Heights","OH","","83.42",0,0,"8. White",,930
"2","COM","matched (3)",87,0,3.711382,3.825397,3.766667,"Elizabeth","NJ","","Elizabeth","NJ","","94.30",0,1,"8. White",,1480
"1","UND","matched (3)",82,"master only (1)",3.85,3.901961,3.911765,"Brooklyn","NY","","Lawrence","NY","","92.10",0,0,"8. White",,1380
"1","UND","matched (3)",18,"master only (1)",3.617737,3.666667,3.537634,"Bronx","NY","","","","","93.26",0,0,"8. White",,1450
"2","BUS","matched (3)",63,0,3.91129,4,4,"Cedarhurst","NY","","Kew Gardens Hills","NY","","92.83",0,0,"8. White",,1330
"2","SPAU","matched (3)",0,0,3.917647,4,4,"Lawrence","NY","","Hewlett Bay Park","NY","","95.20",0,0,"2. Unknown",,1150
"2","BIO","matched (3)",49,0,3.592592,3.568627,3.588235,"Holliswood","NY","","Holliswood","NY","","91.60",0,0,"8. White",,1190
"2","UND","matched (3)",81,0,3.589744,3.875,3.90625,"","","","Elizabeth","NJ","","92.18",0,0,"8. White",,1160
"1","ECO","matched (3)",59,0,4,4,4,"Silver Spring","MD","","Silver Spring","MD","","94.00",0,0,"8. White",,1450
"2","BIO","matched (3)",0,0,3.497355,3.5625,3.495238,"Bergenfield","NJ","","Teaneck","NJ","","84.08",0,0,"8. White",,1060
"1","BUS","matched (3)",56,"master only (1)",3.422481,3.48718,3.477778,"Brooklyn","NY","","New York","NY","","80",0,0,"8. White",,1220
"2","PRE","matched (3)",71,0,3.534207,3.403509,3.438596,"Brooklyn","NY","","Brooklyn","NY","","91.00",0,0,"8. White",,1170
"2","BUS","matched (3)",0,0,3.139158,3,3.2,"Los Angeles","CA","","Los Angeles","CA","","93.79",0,0,"8. White",,1000
"1","SOC","master only (1)",0,0,2.871795,2.871795,2.871795,"New York","NY","","New York","NY","","81.72",0,0,"8. White",,1170
"2","COM","matched (3)",61,0,3.624579,3.541667,3.647619,"Cleveland","OH","","Cleveland Heights","OH","","91.23",0,0,"8. White",,1080
"1","BUND","matched (3)",0,0,3.731884,3.454545,3.523809,"Brookline","MA","","Brookline","MA","","87.4",0,0,"8. White",,1320
"2","PSY","matched (3)",0,0,3.762376,3.730159,3.633333,"Bergenfield","NJ","","Paramus","NJ","","B+",0,0,"8. White",,1240
"2","ACC","master only (1)",45,0,2.905128,2.8,3,"Brooklyn","NY","","Brooklyn","NY","","87.00",0,0,"8. White",,780
"1","BUS","master only (1)",40,0,2,2,2,"Brooklyn","NY","","Brooklyn","NY","","84.28",0,0,"2. Unknown",,1070
"2","ENG","matched (3)",22,0,3.442177,3.385965,3.45614,"New York","NY","","Holliswood","NY","","86.30",1,0,"8. White",,1330
"1","BUS","master only (1)",75,0,2.513441,2.644444,2.91358,"Raanan","","ISRAEL","","","","",0,0,"1. Non Resident Alien",,
"1","BUS","matched (3)",0,0,3.798354,3.547619,3.607143,"Woodmere","NY","","Cedarhurst","NY","","86.20",0,0,"8. White",,1110
"2","LAW","matched (3)",71,0,3.984314,4,4,"Philadelphia","PA","","Bala Cynwyd","PA","","96.42",0,0,"8. White",,1210
"2","MAT","matched (3)",0,"master only (1)",3.711974,3.561404,3.614035,"Teaneck","NJ","","Elizabeth","NJ","","86.01",0,0,"8. White",,1140
"2","PHY","master only (1)",71,0,2.882353,2.547619,2.871795,"Deal","NJ","","Ocean","NJ","","85.49",0,0,"8. White",,1040
"2","COM","matched (3)",63,0,2.54386,2.416667,2.416667,"Staten Island","NY","","Brooklyn","NY","","83.39",0,0,"8. White",,1190
"2","UND","matched (3)",30,0,3.927393,4,3.960784,"Passaic","NJ","","Elizabeth","NJ","","92.18",0,0,"1. Non Resident Alien",,1290
"1","BUS","master only (1)",0,0,2.361702,2.952381,3.08642,"Belle Harbor","NY","","Cedarhurst","NY","","86.50",0,0,"8. White",,1230
"1","BUS","matched (3)",0,0,2.555556,2.619048,2.612903,"Great Neck","NY","","Cedarhurst","NY","","77.7",0,0,"8. White",,1110
"1","BUS","matched (3)",53,"master only (1)",3.536232,3.54902,3.646465,"San Diego","CA","","","","","",0,0,"1. Non Resident Alien",,
"2","BIO","master only (1)",89,0,3.307692,3.066667,3.307692,"London","","ENGLAND","Foreign City","","Unknown Nation","",0,0,"1. Non Resident Alien",,860
"1","UND","matched (3)",0,0,2.67,3.137255,3.135417,"Belle Harbor","NY","","Lawrence","NY","","90.19",0,0,"8. White",,1330
"1","BIO","master only (1)",52,0,1.888889,1.74359,2.051282,"Brooklyn","NY","","Brooklyn","NY","","77.0",0,0,"8. White",,910
"1","BUS","matched (3)",0,"master only (1)",3.131783,3.511111,3.46875,"University Heights","OH","","Cleveland Heights","OH","","83.9",0,0,"8. White",,1000
"1","COM","matched (3)",65,"master only (1)",3.504685,2.916667,3.39785,"Brooklyn","NY","","","","","",0,0,"3. Hispanic",,930
"1","UND","matched (3)",47,0,3.611765,3.745098,3.784314,"Roslyn Heights","NY","","Lawrence","NY","","91.13",0,0,"8. White",,1310
"1","UND","matched (3)",71,0,3.947507,4,3.967742,"Great Neck","NY","","Forest Hills","NY","","94.84",0,0,"8. White",,1140
"2","BIO","master only (1)",0,0,3.1875,3.1875,3.1875,"Monsey","NY","","Brooklyn","NY","","89",0,0,"8. White",,1220
"1","UND","matched (3)",0,0,3.356061,3.431373,3.431373,"Fair Lawn","NJ","","Teaneck","NJ","","85.0",0,0,"8. White",,1140
"1","MED","matched (3)",18,0,3.851406,3.843137,3.858586,"Woodmere","NY","","Cedarhurst","NY","","98.02",0,0,"8. White",,1430
"2","BUS","matched (3)",0,0,3.075,3.333333,3.333333,"Sao Paulo","","BRAZIL","Foreign City","","Unknown Nation","",0,0,"1. Non Resident Alien",,1070
"2","PRH","master only (1)",71,0,1.816092,1.974359,2.333333,"Saint James","NY","","Syosset","NY","","91.51",0,0,"8. White",,1160
"1","BUS","master only (1)",0,0,.6153846,1,.6153846,"Hollywood","FL","","Miami Beach","FL","","92.00",0,0,"8. White",,1250
"2","SOC","matched (3)",19,"master only (1)",2.33677,2.8,2.962963,"Brooklyn","NY","","","","","B+",0,0,"8. White",,1000
